IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
152.53.239.169,152.53.239.169,443,1.41,DE,FRA,173.01,183.81
152.53.141.186,152.53.141.186,443,1.4,DE,FRA,169.81,186.38
89.58.13.3,89.58.13.3,8443,1.39,DE,FRA,174.87,201.21
83.219.249.108,83.219.249.108,443,1.39,DE,FRA,162.35,171.13
152.53.239.169,152.53.239.169,8443,1.38,DE,FRA,165.73,193.82
104.248.23.44,104.248.23.44,443,1.37,DE,FRA,153.79,165.88
80.85.241.245,80.85.241.245,443,1.37,DE,MXP,193.37,270.11
216.57.104.110,216.57.104.110,443,1.35,DE,AMS,163.37,315.02
85.28.47.32,85.28.47.32,443,1.35,DE,FRA,165.8,172.11
152.53.224.193,152.53.224.193,443,1.35,DE,FRA,176.58,191.62
152.53.224.193,152.53.224.193,8443,1.35,DE,FRA,175.68,197.33
152.53.141.186,152.53.141.186,8443,1.35,DE,FRA,173.56,183.26
152.53.14.60,152.53.14.60,8443,1.34,DE,FRA,160.07,186.16
152.53.120.168,152.53.120.168,8443,1.34,DE,FRA,172.56,185.09
94.16.113.129,94.16.113.129,8443,1.34,DE,FRA,172.69,195.82
152.53.136.14,152.53.136.14,443,1.34,DE,FRA,177.93,193.88
18.192.69.254,18.192.69.254,443,1.33,DE,FRA,161.1,219.45
